AsBuilt_Name,Pages,Pipe_type
2000s_tiffs,1,['Unknown']
3 Hebron Station Circle - Hebron 121 Station - Fitness Center -2362-18,35,['Unknown' 'Bad' 'Good']
Ace Lane Chen Gas Well Pad Site 2119-11,11,['Unknown' 'Good' 'Bad']
Ace Ln 2600 Accelerated Christian Education 2744,9,['Unknown' 'Good']
Archer Ave  1950 Justin Road Self-Storage 2638,1,['Unknown']
Archer Way 1950 Justin Road Center 2582,2,['Unknown' 'Good']
Archer Way 1960 La Petite Academy 2527,4,['Good' 'Unknown']
Archer Way 1975 5th Gear 2072-09,29,['Unknown' 'Good' 'Bad']
Arthur James Addition,34,['Unknown' 'Good']
Artx Park 2161-12,28,['Unknown']
Austin Ranch West 2272-15,22,['Unknown' 'Good']
Bellaire Blvd 1010 Founders Classical Academy Gym 2358-17,15,['Unknown' 'Good' 'Bad']
Bellaire Blvd 1010 Founders Classical Academy Middle School 2274-15,20,['Unknown' 'Good' 'Bad']
Bellaire Blvd 1010 Lewisville Charter School 2166-12,8,['Unknown']
Bellaire Blvd 1532 Hedrick Middle School 2692,1,['Unknown']
Bellaire Blvd 175 Chin Evangelical Baptist Church 2211-14,18,['Unknown' 'Good']
Bellaire Blvd 998 Bellaire Place 2616,7,['Unknown' 'Bad' 'Good']
Bellaire Heights 2026,25,['Unknown']
Bellaire Plaza Shopping Center 2100,22,['Unknown' 'Good']
Belleville Village - Phase 1,12,['Unknown' 'Good']
Belleville Village Addition Phase 2 - 2217-14,14,['Unknown' 'Good']
Benamin Way 590 Foam Supply 2566,2,['Good' 'Unknown']
Benjamin Way 582 Leon Campbell Grinding 2577,1,['Good']
Benjamin Way 586 Chempura Pools 2570,1,['Unknown']
Benjamin Way 590 Foam Supply Fire Sprinkler 2024-07,2,['Good' 'Bad']
Bennett Ln 341 Bennett Oaks 2501,3,['Unknown' 'Good']
Bennett Ln 513 Concepts International 2027-07,7,['Unknown' 'Good' 'Bad']
Bennett Ln 514 DCT Waters Ridge 2280-15,35,['Unknown' 'Good']
Bennett Ln 567 Retail Window Company 2781,1,['Unknown']
Bennett Ln 597 Fedex Frieght Service Center 2244-15,56,['Unknown' 'Bad']
Bennett Ln 630 RES Bennet Lane Classical Academy  2316-16,19,['Unknown' 'Good' 'Bad']
Berry Heights 2071,10,['Unknown']
Boyd Additiion 2089,20,['Unknown']
Bridges MacArthur Blvd & Highland Drive 2134,35,['Unknown' 'Bad' 'Good']
Brookside Addition 2184-13,28,['Unknown']
Cain Dr 1854 Denton County Children's Advocacy Center 2063-08,15,['Unknown' 'Good']
Carrington Village - Phase 2 2054-08,41,['Unknown' 'Bad' 'Good']
Charles St 701 LISD Special Education Building 2713,2,['Unknown' 'Good']
Charles Street 225 Piggly Wiggly 2645,3,['Unknown' 'Good']
Chase Oaks - Phase 1 2017-07,17,['Unknown' 'Good']
Chase Oaks - Phase 2 2130-11,20,['Unknown' 'Good']
Cherry Lane Sanitary Sewer & Water 2561,1,['Unknown']
Church St 417 Willard Bowman 2533 P&Z,3,['Unknown' 'Good']
Church St 521 SWF Warehouse Complex - Waite Plumbing 2699,1,['Unknown']
Church St 540 Dyer Investments 2586,1,['Unknown']
Church St 550 B & B Electrical Supply 2526,1,['Good']
Church St 560 Julian Addition 2552,1,['Good']
Church St East 219 Domino's Restaurant 2330-17,12,['Unknown' 'Good' 'Bad']
Church St West 201 Lewisville Town Square Restaurants 2249-15,22,['Unknown']
Civic Cir 1000 Parkway Construction Office Expansion 2223-14,24,['Unknown' 'Bad' 'Good']
Civic Circle Dr 1075 Molly Maid 2305-16,13,['Unknown' 'Good' 'Bad']
Civic Circle Dr 194 Lewisville Post Office 2652,4,['Unknown']
College Pkwy 1680 North Field Elementary School 2711,7,['Unknown' 'Good']
College Pkwy 901 Lewisville Church of Christ 2090-09,12,['Unknown' 'Good' 'Bad']
College Pkwy 901 Lewisville Church of Christ Expansion 2078-09,18,['Unknown' 'Good' 'Bad']
College St 101 College Station 2532,1,['Good']
College St 136 Morrow Cabinet Shop Expansion 2239-15,10,['Unknown' 'Good' 'Bad']
College St 136 Morrow Cabinets 2536,1,['Unknown']
College St 350 College Street Elementary School 2709,1,['Unknown']
College St East 423 Roy Addition 2700,1,['Good']
College St East TXI Aggregate Unloading Dock & ISG Resources Fly Ash Terminal  2698,7,['Unknown' 'Good']
College St East Texas Meat Purveyors 2785,1,['Unknown']
Continental Dr 150 The Beach House 2285-16,26,['Unknown' 'Good' 'Bad']
Continental Dr 200 The Mac Parking Lot Addition 2098-10,8,['Unknown' 'Bad']
Continential Square 2124,17,['Unknown' 'Bad' 'Good']
Corporate Dr 193 7-Eleven 2529,4,['Unknown']
Corporate Dr 601 Dal Mac Development Co,1,['Unknown']
Corporate Dr East  510-530 Corporate Crossing at Waters Ridge 2009-07,37,['Unknown' 'Good' 'Bad']
Corporate Dr East 101 Corporate Village 2504,1,['Unknown']
Corporate Dr East 102 Mobil Oil 2502,3,['Unknown']
Corporate Dr East 247 Paces Point 2620,17,['Unknown']
Corporate Dr East 256 Somerset Apartments 2619,11,['Unknown' 'Good' 'Bad']
Corporate Dr East 290 Corporate Square Retail 2189-13,10,['Unknown']
Corporate Dr East 357 Brighton Place 2633,3,['Unknown']
Corporate Drive Bridge over Timber Creek 2123,9,['Unknown' 'Bad']
Country Ridge Addition 2118,36,['Unknown' 'Good']
Country Ridge Rd 121 Zsn Masonary 2020-07,15,['Unknown' 'Good']
Country Ridge Rd 285 LISD Elementary School #40 2077-09,26,['Unknown' 'Good' 'Bad']
Country Ridge Rd 290 Victoria Heights Condominiums 2132-12,27,['Unknown' 'Good']
Cowan Ave 125 Cowan Office Building 2718,1,['Unknown']
Cowan Ave 311 Shannon Brook Day Care 2573,1,['Unknown']
